latitude,longitude
47.549830683493255,-122.31408514868053
47.55180265252606,-122.3166014803251
47.54890935668075,-122.31239619795409
47.549642531382176,-122.31305748800877
47.55014291099611,-122.31347662929358
47.55179729083335,-122.31640551689965
47.55219712580294,-122.31734141657185
47.569538868833966,-122.3193463966526
47.569233756589924,-122.31888180686431
47.5720556824194,-122.31848093785763
47.578434434722,-122.31797305098353
47.660932403302404,-122.3218550559756
47.600338089659665,-122.33448258225442
47.55329001805735,-122.31922381081775
47.55321458390415,-122.31835300831318
47.6680647368243,-122.38703427947164
47.66692153187679,-122.38657357949671
47.601224349136515,-122.32544830132015
47.58474099798213,-122.32043227692543
47.662309266430405,-122.37608526027385
47.66694256982536,-122.32064710989573
47.66343286793283,-122.32071952557077
47.66328728362563,-122.32141114548578
47.683472689277814,-122.32311915287077
47.68125743238712,-122.32050484388668
47.687451811168934,-122.32550356087332
47.68748228316966,-122.32542930269159
47.69656355786067,-122.33014818544267
47.695913182437046,-122.32985032329185
47.714002012353674,-122.32738670735942
47.59480434542013,-122.31921418701646
47.596605565651195,-122.31767865450192
47.596547059505426,-122.31722741780922
47.59711415216182,-122.31935756008116
47.60014041176426,-122.31882995635968
47.598368805107334,-122.32059531238669
47.60516569323773,-122.32905111591933
47.606211473572316,-122.32753057182178
47.60794843333393,-122.33042773508889
47.60768296581384,-122.33164420401556
47.617680622068214,-122.32752868728575
47.617315433144896,-122.32842473865925
47.615247481499104,-122.32952150589388
47.62036175406583,-122.32904225136525
47.62473335034977,-122.3326541682395
47.62580361488951,-122.33189477341092
47.62563688370144,-122.32843436644171
47.62748986766403,-122.32725730501195
47.62928664679709,-122.3270322594043
47.56081323534837,-122.32044062065818
47.560624395351425,-122.32128273461547
47.56135329881048,-122.32036362982508
47.56174341249389,-122.32026130732244
47.56041657416882,-122.320847790506
47.56221069363968,-122.32036766003758
47.592833418739794,-122.30948349803137
47.59095812599652,-122.31010566938802
47.653358192518496,-122.3610660508366
47.65399392246605,-122.3604047151561
47.66218979527608,-122.36891292356731
47.66318308146266,-122.36647895770817
47.66284209051425,-122.36890282401569
47.66420282919304,-122.37579396793885
47.66459503841864,-122.3798339124489
47.67085584985623,-122.38461615156425
